Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
196,"Mar 21, 2023","Mar 23, 2023","Mar 31, 2023",REVISED,"102 Ave Closed, 121 St - 120 St",102 Avenue NW,121 Street NW,120 Street NW,Total Closure,2 Days (9am - 3:30pm),March 23 & 24 and March 27 - 31 (9am - 3:30pm): 102 Ave will be closed to traffic from 121 St to the alley east of 121 St. Access to the 102 Ave bike facility will be maintained.,Telecom Installation,Construction,Central,Road,POINT (-113.530835921932 53.543024343191)
87,"Jan 27, 2023","Jan 01, 2023","Jul 01, 2023",Current,Westbound 38 Av Delays,38 Avenue NW,62 Street NW,66 Street NW,Travel Delays,6 Months,Westbound 38 Av is reduced to a single lane. Pedestrians are detoured to the south sidewalk.,Drainage Construction,Construction,Southeast,Road and Sidewalk,POINT (-113.433575424867 53.474388287241)
87,"Jan 27, 2023","Jan 01, 2023","Jul 01, 2023",Current,Westbound 38 Av Delays,38 Avenue NW,62 Street NW,66 Street NW,Travel Delays,6 Months,Westbound 38 Av is reduced to a single lane. Pedestrians are detoured to the south sidewalk.,Drainage Construction,Construction,Southeast,Road and Sidewalk,POINT (-113.439199101633 53.474336363874)
195,"Mar 21, 2023","Apr 13, 2023","Apr 13, 2023",Current,SB 170 St - WB 118 Av Right Turn Bay Closure,170 Street NW,118 Avenue NW,,Travel Delays,1 Day (9am to 3pm),"The right turn bay from SB 170 St to WB 118 Av will be closed from 9am to 3pm on Thursday, April 13. Right turns will still be allowed around the island on the NW corner.",Drainage Repairs,Construction,Northwest,Road,POINT (-113.615307408798 53.570460874583)
5,"Nov 08, 2022","Nov 28, 2022","Mar 31, 2023",Current,63 AV Lane Closures,63 Avenue NW,Gateway Boulevard NW,100 Street NW,Increased Travel Time,Four Months,"63 AV eastbound, Gateway Boulevard - 100 ST reduced to one lane for drainage shaft installation.",Drainage Shaft Install,Construction,Central,Road,POINT (-113.4890355164 53.499869166416)
5,"Nov 08, 2022","Nov 28, 2022","Mar 31, 2023",Current,63 AV Lane Closures,63 Avenue NW,Gateway Boulevard NW,100 Street NW,Increased Travel Time,Four Months,"63 AV eastbound, Gateway Boulevard - 100 ST reduced to one lane for drainage shaft installation.",Drainage Shaft Install,Construction,Central,Road,POINT (-113.494002783845 53.499867190035)
183,"Mar 14, 2023","Mar 28, 2023","Mar 28, 2023",Current,EB 102 Ave - Right lane closed,102 Avenue NW,125 Street NW,,Travel Delays,1 Day (9am - 3:30pm),Eastbound 102 Ave right lane closed at 125 St. Left turns from eastbound 102 Ave to northbound 125 St will be banned for the duration of the lane closure.,Tree Removal,Construction,Central,Road,POINT (-113.537667128713 53.543020363463)
210,"Mar 28, 2023","Mar 28, 2023","Apr 11, 2023",Current,Full time single lane closure,Belgravia Road NW,Fox Drive NW,,Travel Delays,2 Weeks,Westbound Belgravia Rd under the Fox Dr overpass will be reduced by a single lane for drainage construction.,Drainage Construction,Construction,Central,Road,POINT (-113.539262019912 53.503999713559)
8,"Jan 11, 2023","Dec 03, 2022","Apr 28, 2023",Current,Southbound 142 St Closure,142 Street NW,124 Avenue NW,Yellowhead Trail,Directional Closure,5 Months,"In the interim, 142 St will only be open to Northbound traffic to Eastbound (right) turns onto Yellowhead Trail. Eastbound Yellowhead Trail to Southbound 142 Street will be banned. The Eastbound to Southbound movement will open later in 2023.",Yellowhead Trail Improvement,Construction,Northwest,Road,POINT (-113.56581852545 53.578657577108)
45,"Jan 12, 2023","Aug 15, 2022","Apr 08, 2023",REVISED,101 Av Closure,101 Avenue NW,144 Street NW,145 Street NW,Total Closure,9 Months,101 Av will be closed from 144 St to 145 St starting on August 15 until March 31. Use other routes.,Drainage Shaft Install,Construction,Northwest,Road,POINT (-113.569123501177 53.541252502108)
11,"Jan 11, 2023","Oct 31, 2022","May 31, 2023",Current,Yellowhead Trail Freeway Conversion Project,Yellowhead Trail,St. Albert Trail,156 Street NW,Travel Delays,7 Months,Yellowhead Trail in both directions from East of St. Albert Trail to West of 156 St will be reduced to two lanes with a speed reduction in place through the winter.,Yellowhead Trail Improvements,Construction,Northwest,Road,POINT (-113.590610497653 53.578402392784)
121,"Feb 10, 2023","May 01, 2023","May 15, 2023",REVISED,145 Street Closed,145 Street NW,Stony Plain Road,101 Avenue NW,Travel Delays,2 Weels,145 Street will be closed from Stony Plain Rd to 101 Av. Use other routes.https://marigoldinfra.ca/ *new dates and duration*,West LRT Construction,Construction,Northwest,Road,POINT (-113.570848050306 53.542058329998)
